unix,open,high,low,close,Volume LINK,Volume BTC
1675296000,0.000304,0.000310,0.000302,0.000303,1807.639604,0.547697
1675209600,0.000302,0.000304,0.000292,0.000304,1108.424768,0.337493
1675123200,0.000303,0.000306,0.000301,0.000302,542.706879,0.163740
1675036800,0.000311,0.000312,0.000301,0.000304,2121.463322,0.644522
1674950400,0.000312,0.000318,0.000310,0.000311,389.517761,0.121058
1674864000,0.000321,0.000323,0.000311,0.000313,2324.734764,0.727665
1674777600,0.000315,0.000322,0.000307,0.000319,3616.981923,1.152370
1674691200,0.000302,0.000314,0.000300,0.000313,3820.629018,1.197079
1674604800,0.000294,0.000302,0.000294,0.000301,3369.834566,1.014320
1674518400,0.000306,0.000312,0.000290,0.000293,3685.074959,1.080353
1674432000,0.000310,0.000315,0.000305,0.000306,4398.425200,1.348029
1674345600,0.000301,0.000316,0.000300,0.000306,33410.321484,10.227902
1674259200,0.000306,0.000314,0.000299,0.000302,15098.891455,4.557600
1674172800,0.000309,0.000311,0.000306,0.000307,4863.519746,1.491350
1674086400,0.000306,0.000310,0.000306,0.000309,7145.948306,2.209384
1674000000,0.000322,0.000327,0.000303,0.000308,22544.529508,6.933795
1673913600,0.000314,0.000327,0.000314,0.000322,4096.207360,1.320904
1673827200,0.000321,0.000327,0.000312,0.000315,5455.523549,1.718872
1673740800,0.000326,0.000329,0.000319,0.000321,4408.388055,1.415004
1673654400,0.000332,0.000343,0.000319,0.000327,80628.448805,26.370340
1673568000,0.000338,0.000339,0.000329,0.000331,13184.915905,4.364471
1673481600,0.000351,0.000353,0.000336,0.000338,3409.691492,1.154112
1673395200,0.000353,0.000355,0.000348,0.000351,1453.071234,0.509737
1673308800,0.000352,0.000360,0.000352,0.000353,1437.663677,0.507768
1673222400,0.000349,0.000360,0.000349,0.000354,1687.179797,0.596857
1673136000,0.000341,0.000348,0.000341,0.000348,1541.880622,0.536436
1673049600,0.000340,0.000350,0.000340,0.000342,1484.081542,0.507704
1672963200,0.000336,0.000337,0.000333,0.000337,2748.891594,0.927146
1672876800,0.000344,0.000344,0.000335,0.000335,8776.063995,2.942702
1672790400,0.000339,0.000345,0.000338,0.000344,7701.072979,2.649554
1672704000,0.000342,0.000342,0.000335,0.000335,44.194560,0.014808
1672617600,0.000339,0.000343,0.000336,0.000340,38.327543,0.013046
1672531200,0.000334,0.000339,0.000334,0.000338,36.510342,0.012336
1672444800,0.000329,0.000338,0.000327,0.000337,284.707681,0.095864
1672358400,0.000337,0.000338,0.000320,0.000320,254.972924,0.081591
1672272000,0.000338,0.000345,0.000330,0.000336,745.300257,0.250413
1672185600,0.000350,0.000351,0.000342,0.000342,397.687121,0.135953
1672099200,0.000355,0.000357,0.000351,0.000355,98.489827,0.034946
1672012800,0.000355,0.000357,0.000353,0.000357,69.426367,0.024803
1671926400,0.000351,0.000355,0.000351,0.000354,1782.681332,0.631568
1671840000,0.000356,0.000356,0.000350,0.000351,341.729696,0.119869
1671753600,0.000356,0.000360,0.000351,0.000353,418.143158,0.147550
1671667200,0.000356,0.000360,0.000353,0.000357,695.907978,0.248112
1671580800,0.000354,0.000357,0.000351,0.000357,286.531394,0.102323
1671494400,0.000353,0.000370,0.000353,0.000356,1797.401091,0.639821
1671408000,0.000358,0.000362,0.000350,0.000351,4991.871442,1.751448
1671321600,0.000358,0.000360,0.000356,0.000360,424.458027,0.152728
1671235200,0.000354,0.000361,0.000353,0.000360,282.853775,0.101776
1671148800,0.000373,0.000375,0.000350,0.000355,302.054001,0.107202
1671062400,0.000378,0.000380,0.000370,0.000370,1277.811340,0.472790
1670976000,0.000387,0.000388,0.000374,0.000377,463.186292,0.174816
1670889600,0.000388,0.000394,0.000378,0.000387,5073.109725,1.961569
1670803200,0.000393,0.000396,0.000387,0.000390,1316.933748,0.513604
1670716800,0.000403,0.000405,0.000397,0.000397,1955.405601,0.776237
1670630400,0.000399,0.000401,0.000395,0.000400,1037.117439,0.414515
1670544000,0.000406,0.000409,0.000398,0.000401,699.419173,0.280348
1670457600,0.000409,0.000410,0.000405,0.000408,589.309685,0.240621
1670371200,0.000417,0.000417,0.000404,0.000411,10332.122262,4.244126
1670284800,0.000429,0.000430,0.000414,0.000417,4780.139160,1.992792
1670198400,0.000434,0.000438,0.000425,0.000428,1809.727113,0.773731
1670112000,0.000431,0.000436,0.000425,0.000436,2305.712808,1.004760
1670025600,0.000445,0.000445,0.000428,0.000428,2601.529791,1.114157
1669939200,0.000452,0.000455,0.000443,0.000444,3095.691198,1.374951
1669852800,0.000447,0.000459,0.000438,0.000454,1661.537221,0.754853
1669766400,0.000447,0.000451,0.000436,0.000446,2864.255362,1.278260
1669680000,0.000444,0.000453,0.000440,0.000447,9283.777664,4.149477
1669593600,0.000420,0.000450,0.000405,0.000443,5512.970588,2.442632
1669507200,0.000437,0.000440,0.000420,0.000420,9911.828552,4.161085
1669420800,0.000415,0.000439,0.000412,0.000433,452.533749,0.195857
1669334400,0.000410,0.000420,0.000408,0.000415,7305.734585,3.029761
1669248000,0.000404,0.000414,0.000401,0.000414,82.483135,0.034127
1669161600,0.000390,0.000412,0.000382,0.000410,3910.657478,1.603370
1669075200,0.000370,0.000400,0.000370,0.000390,1148.596941,0.448102
1668988800,0.000356,0.000360,0.000355,0.000358,186.490803,0.066710
1668902400,0.000369,0.000374,0.000353,0.000353,3418.866601,1.205527
1668816000,0.000367,0.000373,0.000363,0.000373,345.537221,0.128913
1668729600,0.000370,0.000375,0.000366,0.000369,2739.700732,1.010950
1668643200,0.000370,0.000379,0.000370,0.000371,29.689194,0.011028
1668556800,0.000390,0.000390,0.000370,0.000376,90.610952,0.034031
1668470400,0.000380,0.000390,0.000370,0.000380,7819.536155,2.971424
1668384000,0.000363,0.000379,0.000357,0.000375,419.719560,0.157500
1668297600,0.000385,0.000385,0.000365,0.000371,713.056577,0.264729
1668211200,0.000407,0.000407,0.000374,0.000374,3693.928644,1.383118
1668124800,0.000409,0.000420,0.000400,0.000410,9802.037857,4.018836
1668038400,0.000399,0.000420,0.000389,0.000403,10629.944826,4.288120
1667952000,0.000420,0.000423,0.000360,0.000390,14940.683520,5.819695
1667865600,0.000437,0.000464,0.000380,0.000416,23459.570187,9.755897
1667779200,0.000388,0.000442,0.000384,0.000433,15251.267432,6.610052
1667692800,0.000406,0.000412,0.000387,0.000389,2326.650931,0.905742
1667606400,0.000415,0.000422,0.000403,0.000407,4736.673696,1.928395
1667520000,0.000381,0.000421,0.000380,0.000411,10803.130232,4.444732
1667433600,0.000367,0.000396,0.000367,0.000381,7525.184509,2.870557
1667347200,0.000373,0.000385,0.000365,0.000369,6916.053609,2.552992
1667260800,0.000384,0.000384,0.000374,0.000375,3895.536322,1.462501
1667174400,0.000380,0.000410,0.000377,0.000382,8691.862842,3.316033
1667088000,0.000368,0.000390,0.000364,0.000378,13499.649600,5.104488
1667001600,0.000346,0.000368,0.000342,0.000365,5724.052633,2.087734
1666915200,0.000341,0.000348,0.000340,0.000346,132.195538,0.045762
1666828800,0.000347,0.000353,0.000339,0.000341,13064.944792,4.449398
1666742400,0.000351,0.000355,0.000343,0.000344,5159.424228,1.774274
1666656000,0.000357,0.000360,0.000349,0.000352,681.767433,0.239791
1666569600,0.000361,0.000362,0.000355,0.000358,178.734046,0.063912
1666483200,0.000358,0.000363,0.000355,0.000358,1871.665276,0.669663
1666396800,0.000355,0.000361,0.000352,0.000358,2284.260297,0.817537
1666310400,0.000349,0.000355,0.000343,0.000354,2338.707461,0.827949
1666224000,0.000354,0.000359,0.000349,0.000350,146.800227,0.051336
1666137600,0.000367,0.000367,0.000353,0.000353,178.549649,0.063076
1666051200,0.000372,0.000372,0.000363,0.000369,994.162103,0.366846
1665964800,0.000373,0.000380,0.000370,0.000376,6719.525643,2.523585
1665878400,0.000368,0.000373,0.000366,0.000373,3341.074687,1.245720
1665792000,0.000360,0.000370,0.000360,0.000370,2802.735342,1.036031
1665705600,0.000364,0.000370,0.000357,0.000359,12782.470105,4.591591
1665619200,0.000373,0.000444,0.000345,0.000363,6412.132155,2.326899
1665532800,0.000378,0.000380,0.000373,0.000375,2775.543620,1.039968
1665446400,0.000380,0.000384,0.000375,0.000376,23037.930194,8.664105
1665360000,0.000392,0.000402,0.000385,0.000397,17396.062983,6.912326
1665273600,0.000383,0.000396,0.000383,0.000392,786.479807,0.308607
1665187200,0.000390,0.000400,0.000384,0.000384,3208.171328,1.231200
1665100800,0.000383,0.000392,0.000380,0.000390,522.723554,0.203852
1665014400,0.000390,0.000390,0.000383,0.000384,809.581277,0.311146
1664928000,0.000380,0.000396,0.000378,0.000392,5402.613500,2.119121
1664841600,0.000381,0.000389,0.000370,0.000382,5951.315622,2.273760
1664755200,0.000373,0.000376,0.000367,0.000374,9364.981702,3.503627
1664668800,0.000386,0.000391,0.000375,0.000376,5125.182129,1.926966
1664582400,0.000391,0.000395,0.000380,0.000382,979.686937,0.374652
1664496000,0.000401,0.000404,0.000385,0.000390,10569.373725,4.124592
1664409600,0.000396,0.000417,0.000395,0.000404,541.702626,0.218767
1664323200,0.000426,0.000447,0.000400,0.000403,8535.191967,3.437634
1664236800,0.000414,0.000427,0.000405,0.000422,8551.844165,3.611444
1664150400,0.000420,0.000420,0.000399,0.000409,7954.475560,3.252983
1664064000,0.000409,0.000422,0.000405,0.000419,13947.025331,5.838364
1663977600,0.000387,0.000411,0.000380,0.000403,23134.389164,9.323159
1663891200,0.000368,0.000391,0.000366,0.000387,14675.050504,5.672494
1663804800,0.000363,0.000370,0.000361,0.000365,1542.016591,0.563283
1663718400,0.000363,0.000373,0.000357,0.000364,7444.974525,2.712502
1663632000,0.000375,0.000380,0.000363,0.000363,710.196882,0.257851
1663545600,0.000390,0.000390,0.000374,0.000375,4525.725851,1.697645
1663459200,0.000406,0.000406,0.000384,0.000387,5869.219450,2.271329
1663372800,0.000389,0.000405,0.000385,0.000404,3160.453150,1.275338
1663286400,0.000385,0.000394,0.000378,0.000385,11245.583872,4.326963
1663200000,0.000364,0.000381,0.000358,0.000381,4977.293472,1.894756
1663113600,0.000358,0.000358,0.000358,0.000358,0.000000,0.000000
1663027200,0.000345,0.000358,0.000345,0.000358,8911.801830,3.186593
1662940800,0.000363,0.000363,0.000347,0.000350,5182.451637,1.813858
1662854400,0.000367,0.000372,0.000364,0.000368,5232.755541,1.926962
