unix,open,high,low,close,Volume LINK,Volume USD,return,log_return,SMA_24,volatility_24
1734739200,23.380000,24.920000,21.780000,22.110000,40194.394235,888698.056529,0.006372,0.006352,21.892917,0.050032
1734739200,23.361920,24.947700,21.804230,22.167700,36316.494628,805053.157965,0.002106,0.002103,21.900001,0.049339
1734652800,22.910000,23.740000,20.000000,23.290000,339488.420866,7906685.321958,0.053370,0.051994,22.057917,0.049693
1734652800,22.785460,23.718590,20.000000,23.361920,102620.694231,2397416.448969,0.053872,0.052471,22.066756,0.049125
1734566400,24.860000,25.610000,21.680000,22.800000,117307.912524,2674620.405550,-0.021039,-0.021264,22.182500,0.049939
1734566400,24.882640,25.596630,21.684540,22.785460,146729.299868,3343294.592970,-0.024675,-0.024985,22.188617,0.049453
1734480000,27.910000,28.390000,24.730000,24.920000,113558.115513,2829868.238595,0.092982,0.088910,22.378333,0.052889
1734480000,27.827030,28.387010,24.723260,24.882640,65694.819588,1634660.545673,0.092040,0.088048,22.384321,0.052407
1734393600,28.760000,29.050000,27.380000,27.750000,52248.382491,1449892.614138,0.113563,0.107565,22.690833,0.056893
1734393600,28.750400,29.032990,27.329580,27.827030,45934.632002,1278224.382759,0.118331,0.111837,22.699199,0.056842
1734307200,29.250000,30.800000,28.260000,28.820000,133255.933906,3840436.015171,0.038559,0.037834,23.075000,0.056187
1734307200,29.224410,30.750000,28.412410,28.750400,76097.466557,2187832.602500,0.033182,0.032644,23.078207,0.056120
1734220800,29.200000,29.850000,28.050000,29.240000,60644.605324,1773248.259684,0.014573,0.014468,23.441250,0.055922
1734220800,29.121490,29.792620,28.056790,29.224410,52165.729904,1524512.678664,0.016487,0.016353,23.441706,0.055855
1734134400,28.990000,30.750000,28.720000,29.140000,107021.713937,3118612.744110,-0.003420,-0.003426,23.763750,0.055686
1734134400,28.915820,30.683650,28.688570,29.121490,47497.180380,1383188.663464,-0.003522,-0.003528,23.764278,0.055700
1734048000,29.130000,30.940000,27.560000,29.050000,153470.140940,4458307.594299,-0.003089,-0.003093,23.982083,0.051680
1734048000,29.029870,30.880000,27.550000,28.915820,87463.805078,2529087.644151,-0.007062,-0.007088,23.975942,0.051545
1733961600,24.060000,29.460000,23.950000,29.120000,206714.879680,6019537.296296,0.002410,0.002407,24.209583,0.051594
1733961600,24.090750,29.350290,23.923120,29.029870,163317.899808,4741097.400099,0.003944,0.003936,24.206137,0.051324
1733875200,22.150000,24.330000,21.190000,24.110000,88513.329728,2134056.379737,-0.172047,-0.188799,24.230833,0.063588
1733875200,22.161100,24.352960,21.200610,24.090750,58778.073091,1416007.864317,-0.170139,-0.186497,24.227691,0.063166
1733788800,22.250000,23.770000,20.300000,22.150000,190708.601968,4224195.533594,-0.081294,-0.084789,24.175833,0.065864
1733788800,22.320620,23.799520,20.325700,22.161100,90086.473921,1996415.357211,-0.080099,-0.083489,24.173652,0.065394
1733702400,26.140000,27.330000,19.600000,22.310000,364236.758634,8126122.085118,0.007223,0.007198,24.184167,0.064716
1733702400,26.073390,27.294450,19.476960,22.320620,131370.047755,2932260.915321,0.007198,0.007172,24.186589,0.064078
1733616000,24.780000,27.400000,24.730000,26.100000,116789.262251,3048199.744757,0.169879,0.156900,24.367083,0.072969
1733616000,24.781500,27.300440,24.670540,26.073390,55410.569456,1444741.387548,0.168130,0.155404,24.368461,0.072288
1733529600,25.880000,26.140000,24.500000,24.800000,72171.346586,1789849.395344,-0.049808,-0.051092,24.567083,0.071660
1733529600,25.900810,26.800000,24.470180,24.781500,41324.652561,1024086.877440,-0.049548,-0.050818,24.567966,0.070945
1733443200,23.180000,25.990000,22.780000,25.900000,90479.590518,2343421.394415,0.044355,0.043399,24.787917,0.071881
1733443200,23.167340,26.376980,22.806110,25.900810,59003.481341,1528237.959552,0.045167,0.044177,24.790291,0.071200
1733356800,24.130000,24.890000,22.250000,23.170000,190498.954902,4413860.785088,-0.105405,-0.111385,24.880417,0.075756
1733356800,24.126680,24.845840,22.530700,23.167340,75822.463164,1756604.783758,-0.105536,-0.111531,24.883762,0.075117
1733270400,24.110000,26.500000,23.730000,24.110000,196677.012748,4741882.777348,0.040570,0.039768,24.972500,0.075657
1733270400,24.140220,26.400000,23.672170,24.126680,96379.679478,2325321.685268,0.041409,0.040575,24.974570,0.074950
1733184000,25.250000,26.210000,22.520000,24.170000,320282.254191,7741222.083799,0.002489,0.002486,25.087500,0.075410
1733184000,25.128340,26.121030,22.535110,24.140220,119066.376166,2874288.515250,0.000561,0.000561,25.084049,0.074753
1733097600,19.010000,26.870000,18.620000,25.230000,434984.848740,10974667.733701,0.043856,0.042922,25.193750,0.075016
1733097600,18.875650,26.669990,18.557520,25.128340,248595.154461,6246783.563649,0.040933,0.040117,25.185717,0.074428
1733011200,18.980000,19.060000,18.450000,18.880000,60357.638445,1139552.213850,-0.251685,-0.289931,24.962917,0.090197
1733011200,19.016810,19.100360,18.110940,18.875650,86965.108372,1641522.947842,-0.248830,-0.286124,24.953716,0.089307
1732924800,18.250000,19.450000,18.020000,19.050000,47342.552176,901875.618952,0.009004,0.008964,24.696250,0.089671
1732924800,18.298400,19.414670,17.950650,19.016810,36233.211508,689040.098937,0.007478,0.007451,24.685970,0.088793
