unix,open,high,low,close,Volume BTC,Volume USDC
1663524000,19660.000000,19688.000000,19585.000000,19645.000000,0.577905,11352.939010
1663520400,19704.000000,19734.000000,19651.000000,19684.000000,0.107501,2116.043188
1663516800,19667.000000,19752.000000,19666.000000,19707.000000,0.171063,3371.132826
1663513200,19820.000000,19868.000000,19817.000000,19843.000000,0.115761,2297.039967
1663509600,19831.000000,19840.000000,19767.000000,19803.000000,0.128803,2550.693532
1663506000,19988.000000,19998.000000,19965.000000,19998.000000,0.005486,109.700229
1663502400,19925.000000,19925.000000,19871.000000,19905.000000,0.020853,415.083742
1663498800,19940.000000,19940.000000,19903.000000,19918.000000,0.014236,283.544282
1663495200,19834.000000,20013.000000,19788.000000,19929.000000,0.089943,1792.471656
1663491600,20055.000000,20063.000000,19832.000000,19832.000000,0.045116,894.745668
1663488000,20060.000000,20060.000000,20060.000000,20060.000000,0.033000,661.980000
1663484400,20061.000000,20061.000000,20061.000000,20061.000000,0.000000,0.000000
1663480800,20061.000000,20061.000000,20061.000000,20061.000000,0.000000,0.000000
1663477200,20061.000000,20061.000000,20061.000000,20061.000000,0.021956,440.461723
1663473600,20009.000000,20009.000000,20009.000000,20009.000000,0.016390,327.949511
1663470000,19998.000000,19999.000000,19998.000000,19999.000000,0.060000,1199.940000
1663466400,20019.000000,20019.000000,20011.000000,20011.000000,0.004308,86.205187
1663462800,19986.000000,20021.000000,19986.000000,20018.000000,0.008239,164.924899
1663459200,20039.000000,20039.000000,19985.000000,19985.000000,0.099085,1980.213325
1663455600,20105.000000,20141.000000,20105.000000,20141.000000,0.037914,763.635139
1663452000,20091.000000,20091.000000,20076.000000,20076.000000,0.006378,128.051353
1663448400,20054.000000,20054.000000,19991.000000,20011.000000,0.045209,904.676298
1663444800,20004.000000,20068.000000,20004.000000,20068.000000,0.037186,746.248447
1663441200,20054.000000,20054.000000,20020.000000,20020.000000,0.071935,1440.147309
1663437600,20062.000000,20062.000000,20062.000000,20062.000000,0.035000,702.170000
1663434000,20093.000000,20093.000000,20057.000000,20057.000000,0.004396,88.175787
1663430400,20028.000000,20147.000000,20028.000000,20147.000000,0.262109,5280.718686
1663426800,19899.000000,19992.000000,19885.000000,19982.000000,0.098214,1962.509550
1663423200,19937.000000,19945.000000,19906.000000,19906.000000,0.221129,4401.802434
1663419600,19869.000000,19900.000000,19849.000000,19900.000000,0.329488,6556.805031
1663416000,19861.000000,19861.000000,19861.000000,19861.000000,0.000000,0.000000
1663412400,19855.000000,19861.000000,19855.000000,19861.000000,0.008660,171.998445
1663408800,19883.000000,19888.000000,19863.000000,19863.000000,0.090000,1787.670000
1663405200,19884.000000,19884.000000,19847.000000,19847.000000,1.636436,32478.345292
1663401600,19860.000000,19871.000000,19860.000000,19871.000000,0.083517,1659.556968
1663398000,19838.000000,19838.000000,19829.000000,19829.000000,0.230806,4576.643251
1663394400,19853.000000,19853.000000,19812.000000,19826.000000,0.186405,3695.671081
1663390800,19856.000000,19872.000000,19856.000000,19856.000000,0.205224,4074.924368
1663387200,19940.000000,19963.000000,19926.000000,19926.000000,0.253003,5041.334391
1663383600,19892.000000,19895.000000,19880.000000,19880.000000,0.262801,5224.486266
1663380000,20003.000000,20003.000000,19880.000000,19880.000000,0.119073,2367.180385
1663376400,19951.000000,20035.000000,19950.000000,19997.000000,0.197568,3950.768696
1663372800,19821.000000,20038.000000,19821.000000,19954.000000,0.190000,3791.260000
1663369200,19727.000000,19738.000000,19715.000000,19721.000000,0.238603,4705.480100
