unix,open,high,low,close,Volume BTC,Volume USDT
1741521600,85047.000000,85047.000000,84279.000000,84592.000000,0.089330,7556.639735
1741518000,84858.000000,85085.000000,84795.000000,85085.000000,0.087118,7412.429074
1741514400,85541.000000,85623.000000,84864.000000,84907.000000,0.096473,8191.206690
1741510800,85812.000000,85903.000000,85500.000000,85500.000000,0.087003,7438.724865
1741507200,85978.000000,86031.000000,85852.000000,85852.000000,0.072801,6250.143217
1741503600,85896.000000,86109.000000,85877.000000,85920.000000,0.067067,5762.396640
1741500000,86018.000000,86054.000000,85854.000000,85917.000000,0.050888,4372.134845
1741496400,86028.000000,86164.000000,85987.000000,86042.000000,0.059559,5124.539340
1741492800,86117.000000,86117.000000,85960.000000,86084.000000,0.074526,6415.534061
1741489200,86038.000000,86213.000000,86011.000000,86169.000000,0.122528,10558.086796
1741485600,86188.000000,86283.000000,86021.000000,86022.000000,0.068407,5884.539642
1741482000,86480.000000,86494.000000,86109.000000,86206.000000,0.079444,6848.509809
1741478400,86195.000000,86485.000000,86146.000000,86443.000000,0.110221,9527.870209
1741474800,86349.000000,86404.000000,86085.000000,86197.000000,0.085989,7411.986937
1741471200,86253.000000,86253.000000,85903.000000,86248.000000,0.070798,6106.185904
1741467600,86288.000000,86521.000000,86214.000000,86241.000000,0.076333,6582.997169
1741464000,86254.000000,86387.000000,86217.000000,86291.000000,0.070665,6097.753515
1741460400,86096.000000,86496.000000,85894.000000,86240.000000,0.091233,7867.911498
1741456800,85960.000000,86084.000000,85949.000000,86055.000000,0.095433,8212.486815
1741453200,86001.000000,86049.000000,85775.000000,85993.000000,0.100114,8609.088583
1741449600,86419.000000,86426.000000,85862.000000,86169.000000,0.080199,6910.690035
1741446000,86258.000000,86611.000000,86227.000000,86422.000000,0.071038,6139.246036
1741442400,86364.000000,86644.000000,86305.000000,86383.000000,0.063969,5525.834127
1741438800,86217.000000,86539.000000,86176.000000,86346.000000,0.091607,7909.934287
1741435200,85983.000000,86389.000000,85921.000000,86229.000000,0.118532,10220.853576
1741431600,86115.000000,86120.000000,85773.000000,85961.000000,0.091831,7893.856224
1741428000,85984.000000,86276.000000,85970.000000,86124.000000,0.074990,6458.407755
1741424400,86112.000000,86454.000000,85890.000000,85890.000000,0.075888,6518.016026
1741420800,86287.000000,86287.000000,86062.000000,86079.000000,0.066717,5742.914566
1741417200,86472.000000,86538.000000,86179.000000,86198.000000,0.123162,10616.291355
1741413600,86320.000000,86674.000000,86300.000000,86471.000000,0.112245,9705.962472
1741410000,86435.000000,86435.000000,86025.000000,86252.000000,0.081805,7055.863835
1741406400,85876.000000,86508.000000,85698.000000,86483.000000,0.077341,6688.696405
1741402800,86192.000000,86192.000000,85533.000000,86068.000000,0.086705,7462.562089
1741399200,86127.000000,86337.000000,86008.000000,86215.000000,0.089973,7757.051508
1741395600,86739.000000,86739.000000,85300.000000,86044.000000,0.947720,81545.646354
1741392000,86764.000000,86902.000000,86572.000000,86801.000000,0.089542,7772.361182
1741388400,86608.000000,86827.000000,86115.000000,86808.000000,0.073591,6388.310966
1741384800,86300.000000,87052.000000,85805.000000,86652.000000,0.131788,11419.657382
1741381200,87154.000000,87213.000000,85300.000000,86259.000000,2.108979,181918.397134
1741377600,87749.000000,88513.000000,86911.000000,87059.000000,0.331524,28862.174034
1741374000,88747.000000,88831.000000,87312.000000,87771.000000,0.193987,17026.415423
1741370400,87548.000000,88919.000000,87548.000000,88561.000000,0.380715,33716.502886
1741366800,87214.000000,88671.000000,86631.000000,87597.000000,0.870790,76278.604770
1741363200,88264.000000,88954.000000,86682.000000,87243.000000,0.461026,40221.310511
1741359600,90421.000000,90752.000000,88094.000000,88483.000000,1.144252,101246.806359
1741356000,89280.000000,91103.000000,88890.000000,90457.000000,0.978581,88519.515086
1741352400,89433.000000,90315.000000,89182.000000,89257.000000,0.207358,18508.122659
1741348800,88951.000000,89195.000000,88951.000000,89102.000000,0.024339,2168.641104
1741345200,89224.000000,89398.000000,88938.000000,88938.000000,0.088948,7910.866118
1741341600,88798.000000,89033.000000,88798.000000,89033.000000,0.008416,749.294605
1741338000,88498.000000,89175.000000,88498.000000,88964.000000,0.138019,12278.740109
1741334400,88115.000000,88292.000000,88115.000000,88292.000000,0.043236,3817.406156
1741330800,88321.000000,88586.000000,88318.000000,88318.000000,0.020983,1853.165996
1741327200,88149.000000,88226.000000,88028.000000,88226.000000,0.103167,9102.055855
1741323600,88003.000000,88349.000000,87899.000000,88202.000000,0.048614,4287.878489
1741320000,86950.000000,87886.000000,86950.000000,87886.000000,0.006141,539.665741
1741316400,87440.000000,87440.000000,86981.000000,87081.000000,0.127771,11126.395973
1741312800,87944.000000,87944.000000,87354.000000,87354.000000,0.080801,7058.283566
1741309200,85490.000000,88183.000000,85302.000000,88174.000000,1.182695,104282.926005
1741305600,90428.000000,91092.000000,84644.000000,85508.000000,1.415981,121077.681116
1741302000,90290.000000,90334.000000,90011.000000,90011.000000,0.146484,13185.169524
1741298400,90096.000000,90543.000000,89707.000000,90308.000000,0.395720,35736.680857
1741294800,89308.000000,89652.000000,89304.000000,89421.000000,0.252901,22614.655850
1741291200,88825.000000,89214.000000,88790.000000,88898.000000,0.039629,3522.922840
1741287600,88343.000000,89006.000000,88116.000000,89006.000000,0.025470,2266.987270
1741284000,88600.000000,88675.000000,88578.000000,88675.000000,2.256283,200075.935816
1741280400,88813.000000,88869.000000,88123.000000,88123.000000,0.035677,3143.942240
1741276800,90876.000000,90876.000000,89437.000000,89451.000000,0.093310,8346.631663
1741273200,90961.000000,91332.000000,90707.000000,90926.000000,0.246269,22392.252366
1741269600,89495.000000,90255.000000,89399.000000,89962.000000,0.109242,9827.583823
1741266000,90187.000000,90187.000000,90187.000000,90187.000000,0.001006,90.686636
1741262400,90757.000000,90757.000000,89971.000000,90016.000000,0.132568,11933.240188
1741258800,91355.000000,91355.000000,91355.000000,91355.000000,0.000747,68.249493
1741255200,90888.000000,91555.000000,90877.000000,91555.000000,0.062585,5730.004466
1741251600,90873.000000,90873.000000,90846.000000,90846.000000,0.001580,143.521236
1741248000,91295.000000,91560.000000,91163.000000,91163.000000,0.016326,1488.286115
1741244400,91727.000000,91764.000000,91287.000000,91287.000000,0.018741,1710.844356
1741240800,92663.000000,92663.000000,92025.000000,92025.000000,0.013377,1231.019345
1741237200,92391.000000,92637.000000,92290.000000,92637.000000,0.025974,2406.138616
1741233600,91721.000000,92209.000000,91721.000000,92073.000000,0.042636,3925.648367
