unix,date,symbol,open,high,low,close,Volume XRP,Volume BTC
1590364800,2020-05-25 00:00:00,XRP/BTC,0.000022,0.000022,0.000022,0.000022,2418933.145896,53.264908
1590278400,2020-05-24 00:00:00,XRP/BTC,0.000022,0.000022,0.000022,0.000022,1399505.139067,30.999039
1590192000,2020-05-23 00:00:00,XRP/BTC,0.000022,0.000022,0.000022,0.000022,1419647.975743,30.763772
1590105600,2020-05-22 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000022,2181283.462248,47.661044
1590019200,2020-05-21 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000021,3064902.132464,65.742151
1589932800,2020-05-20 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,2756387.101451,58.435407
1589846400,2020-05-19 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,2560054.570842,53.633143
1589760000,2020-05-18 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,2491898.665089,52.628900
1589673600,2020-05-17 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,1969894.737538,40.993509
1589587200,2020-05-16 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,2277509.656662,48.442630
1589500800,2020-05-15 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,2873965.121022,61.100498
1589414400,2020-05-14 00:00:00,XRP/BTC,0.000022,0.000022,0.000021,0.000021,4770210.886489,99.363493
1589328000,2020-05-13 00:00:00,XRP/BTC,0.000022,0.000022,0.000021,0.000022,2007456.146335,43.622022
1589241600,2020-05-12 00:00:00,XRP/BTC,0.000022,0.000023,0.000022,0.000022,1782482.329803,39.927604
1589155200,2020-05-11 00:00:00,XRP/BTC,0.000023,0.000023,0.000022,0.000023,3135525.278698,70.580674
1589068800,2020-05-10 00:00:00,XRP/BTC,0.000023,0.000023,0.000022,0.000023,4830315.320002,109.213429
1588982400,2020-05-09 00:00:00,XRP/BTC,0.000022,0.000023,0.000022,0.000023,3692840.161731,83.716686
1588896000,2020-05-08 00:00:00,XRP/BTC,0.000022,0.000022,0.000022,0.000022,2150810.910293,47.941575
1588809600,2020-05-07 00:00:00,XRP/BTC,0.000023,0.000023,0.000022,0.000022,7533812.153634,165.065824
1588723200,2020-05-06 00:00:00,XRP/BTC,0.000024,0.000024,0.000023,0.000023,3715558.364041,86.089487
1588636800,2020-05-05 00:00:00,XRP/BTC,0.000025,0.000025,0.000024,0.000024,2858272.651704,68.770040
1588550400,2020-05-04 00:00:00,XRP/BTC,0.000025,0.000025,0.000024,0.000025,3245666.127987,79.810930
1588464000,2020-05-03 00:00:00,XRP/BTC,0.000025,0.000025,0.000024,0.000025,2369994.807997,58.562572
1588377600,2020-05-02 00:00:00,XRP/BTC,0.000025,0.000025,0.000025,0.000025,3832131.188697,95.611673
1588291200,2020-05-01 00:00:00,XRP/BTC,0.000025,0.000025,0.000024,0.000025,2101175.522478,51.814988
1588204800,2020-04-30 00:00:00,XRP/BTC,0.000026,0.000026,0.000024,0.000024,5192409.757111,127.214039
1588118400,2020-04-29 00:00:00,XRP/BTC,0.000028,0.000028,0.000025,0.000026,4229339.581991,109.159255
1588032000,2020-04-28 00:00:00,XRP/BTC,0.000025,0.000028,0.000025,0.000028,3521568.823823,97.582672
1587945600,2020-04-27 00:00:00,XRP/BTC,0.000025,0.000026,0.000025,0.000025,1553918.545279,39.500609
1587859200,2020-04-26 00:00:00,XRP/BTC,0.000026,0.000026,0.000025,0.000025,692467.845978,17.657930
1587772800,2020-04-25 00:00:00,XRP/BTC,0.000026,0.000026,0.000026,0.000026,759642.914883,19.530419
1587686400,2020-04-24 00:00:00,XRP/BTC,0.000026,0.000026,0.000026,0.000026,529572.535352,13.636493
1587600000,2020-04-23 00:00:00,XRP/BTC,0.000026,0.000027,0.000026,0.000026,1995014.980064,51.411536
1587513600,2020-04-22 00:00:00,XRP/BTC,0.000027,0.000027,0.000026,0.000026,1039444.202506,27.472510
1587427200,2020-04-21 00:00:00,XRP/BTC,0.000027,0.000027,0.000027,0.000027,895990.625437,24.021509
1587340800,2020-04-20 00:00:00,XRP/BTC,0.000027,0.000027,0.000026,0.000027,1990497.815915,52.907432
1587254400,2020-04-19 00:00:00,XRP/BTC,0.000027,0.000027,0.000027,0.000027,473239.946222,12.583450
1587168000,2020-04-18 00:00:00,XRP/BTC,0.000027,0.000027,0.000027,0.000027,820800.122594,22.087731
1587081600,2020-04-17 00:00:00,XRP/BTC,0.000027,0.000027,0.000027,0.000027,709016.619299,19.122178
1586995200,2020-04-16 00:00:00,XRP/BTC,0.000027,0.000027,0.000027,0.000027,1120810.461424,30.104969
1586908800,2020-04-15 00:00:00,XRP/BTC,0.000027,0.000028,0.000027,0.000027,464614.434896,12.679328
1586822400,2020-04-14 00:00:00,XRP/BTC,0.000027,0.000028,0.000027,0.000027,509726.106901,13.808480
1586736000,2020-04-13 00:00:00,XRP/BTC,0.000027,0.000028,0.000027,0.000028,1415645.046318,38.930239
1586649600,2020-04-12 00:00:00,XRP/BTC,0.000028,0.000028,0.000027,0.000027,3597679.429265,98.504463
1586563200,2020-04-11 00:00:00,XRP/BTC,0.000027,0.000028,0.000027,0.000028,2280357.976162,62.709844
1586476800,2020-04-10 00:00:00,XRP/BTC,0.000027,0.000028,0.000027,0.000027,1009289.776699,27.654540
1586390400,2020-04-09 00:00:00,XRP/BTC,0.000027,0.000027,0.000027,0.000027,481247.776155,13.104377
1586304000,2020-04-08 00:00:00,XRP/BTC,0.000027,0.000028,0.000027,0.000027,1020972.501431,28.035905
1586217600,2020-04-07 00:00:00,XRP/BTC,0.000027,0.000028,0.000027,0.000027,2295079.328042,61.576978
1586131200,2020-04-06 00:00:00,XRP/BTC,0.000026,0.000027,0.000026,0.000027,1192682.542579,32.130868
1586044800,2020-04-05 00:00:00,XRP/BTC,0.000026,0.000027,0.000026,0.000026,611900.463974,16.166410
1585958400,2020-04-04 00:00:00,XRP/BTC,0.000027,0.000027,0.000026,0.000026,19926414.701576,527.850725
