unix,open,high,low,close,Volume UNI,Volume USD
1673064000,5.516940,5.516940,5.516940,5.516940,0.000000,0.000000
1673060400,5.516940,5.516940,5.516940,5.516940,11.288033,62.275400
1673056800,5.521580,5.521580,5.521580,5.521580,0.000000,0.000000
1673053200,5.548110,5.556060,5.521580,5.521580,914.217880,5047.927164
1673049600,5.554740,5.554740,5.554740,5.554740,18.199300,101.092380
1673046000,5.525810,5.525810,5.525810,5.525810,185.260000,1023.711561
1673042400,5.491570,5.491570,5.491560,5.491560,312.880000,1718.199293
1673038800,5.490770,5.500450,5.487440,5.500450,3864.742256,21257.821544
1673035200,5.482520,5.484160,5.480000,5.480000,552.300000,3026.604000
1673031600,5.449570,5.449570,5.449570,5.449570,0.000000,0.000000
1673028000,5.449570,5.449570,5.449570,5.449570,18.514900,100.898244
1673024400,5.364540,5.364540,5.364540,5.364540,0.000000,0.000000
1673020800,5.364540,5.364540,5.364540,5.364540,0.000000,0.000000
1673017200,5.361930,5.364540,5.361930,5.364540,159.697494,856.703594
1673013600,5.321570,5.331210,5.321570,5.331090,188.077909,1002.660258
1673010000,5.242970,5.356660,5.242970,5.343050,504.470369,2695.410405
1673006400,5.295550,5.295550,5.295550,5.295550,0.000000,0.000000
1673002800,5.303880,5.303880,5.289300,5.295550,312.703603,1655.937565
1672999200,5.316840,5.316840,5.303880,5.303880,280.707310,1488.837885
1672995600,5.331970,5.331970,5.331970,5.331970,0.000000,0.000000
1672992000,5.314800,5.331970,5.314800,5.331970,74.056635,394.867758
